t_ms,rx,ry,speed
0.0,-0.0273,0.0000,0.0000
3.0,-0.0391,0.0000,0.0118
6.0,-0.0547,0.0000,0.0156
8.0,-0.0742,0.0000,0.0195
11.0,-0.0898,0.0000,0.0156
14.0,-0.1133,0.0000,0.0235
16.0,-0.1406,0.0000,0.0273
17.0,-0.1445,0.0000,0.0039
18.0,-0.1523,0.0000,0.0078
19.0,-0.1523,0.0000,0.0000
22.0,-0.1875,0.0000,0.0352
25.0,-0.1875,0.0000,0.0000
27.0,-0.1875,0.0000,0.0000
30.0,-0.1875,0.0000,0.0000
33.0,-0.2930,0.0000,0.1055
35.0,-0.3047,0.0000,0.0117
38.0,-0.3320,0.0000,0.0273
41.0,-0.3516,-0.0039,0.0196
43.0,-0.3672,-0.0078,0.0156
46.0,-0.3867,-0.0117,0.0195
49.0,-0.4062,-0.0117,0.0195
51.0,-0.4258,-0.0117,0.0196
54.0,-0.4453,-0.0117,0.0195
57.0,-0.4531,-0.0117,0.0078
60.0,-0.4648,-0.0117,0.0117
62.0,-0.4766,-0.0117,0.0118
66.0,-0.4883,-0.0117,0.0117
68.0,-0.4961,-0.0117,0.0078
71.0,-0.5039,-0.0117,0.0078
73.0,-0.5156,-0.0117,0.0117
76.0,-0.5273,-0.0117,0.0117
79.0,-0.5430,-0.0117,0.0157
82.0,-0.5547,-0.0117,0.0117
83.0,-0.5586,-0.0078,0.0039
85.0,-0.5742,-0.0078,0.0156
88.0,-0.5859,-0.0078,0.0117
91.0,-0.6016,-0.0078,0.0157
94.0,-0.6172,-0.0078,0.0156
96.0,-0.6406,-0.0117,0.0234
99.0,-0.6680,-0.0117,0.0274
102.0,-0.6953,-0.0195,0.0273
105.0,-0.7109,-0.0234,0.0156
107.0,-0.7461,-0.0391,0.0352
110.0,-0.7773,-0.0469,0.0312
113.0,-0.8047,-0.0586,0.0274
116.0,-0.8320,-0.0703,0.0273
120.0,-0.8320,-0.0703,0.0000
123.0,-0.9141,-0.1211,0.0821
126.0,-0.9414,-0.1289,0.0273
128.0,-0.9648,-0.1367,0.0234
132.0,-0.9844,-0.1445,0.0196
135.0,-1.0000,-0.1523,0.0156
138.0,-1.0000,-0.1562,0.0000
140.0,-1.0000,-0.1562,0.0000
144.0,-1.0000,-0.1562,0.0000
148.0,-1.0000,-0.1523,0.0000
151.0,-1.0000,-0.1484,0.0000
153.0,-1.0000,-0.1445,0.0000
156.0,-1.0000,-0.1328,0.0000
159.0,-1.0000,-0.1250,0.0000
162.0,-1.0000,-0.1250,0.0000
165.0,-1.0000,-0.0859,0.0000
168.0,-1.0000,-0.0664,0.0000
171.0,-1.0000,-0.0547,0.0000
173.0,-1.0000,-0.0430,0.0000
176.0,-1.0000,-0.0234,0.0000
