t_ms,rx,ry,speed
0.0,-1.0000,0.1250,0.0000
3.0,-0.9883,0.1133,0.0117
6.0,-0.9727,0.1016,0.0156
9.0,-0.9531,0.0938,0.0196
11.0,-0.9297,0.0859,0.0234
14.0,-0.9062,0.0781,0.0235
17.0,-0.8711,0.0781,0.0351
19.0,-0.8359,0.0781,0.0352
22.0,-0.8008,0.0781,0.0351
25.0,-0.7578,0.0781,0.0430
28.0,-0.7109,0.0781,0.0469
31.0,-0.7109,0.0781,0.0000
34.0,-0.5938,0.0898,0.1171
37.0,-0.5352,0.1055,0.0586
40.0,-0.4844,0.1250,0.0508
43.0,-0.4219,0.1445,0.0625
46.0,-0.3438,0.1680,0.0781
49.0,-0.2930,0.1836,0.0508
51.0,-0.2422,0.1953,0.0508
54.0,-0.1914,0.1992,0.0508
57.0,-0.1523,0.2031,0.0391
60.0,-0.1172,0.2031,0.0351
63.0,-0.0820,0.1992,0.0352
65.0,-0.0586,0.1836,0.0234
68.0,-0.0352,0.1289,0.0234
71.0,-0.0039,0.0078,0.0313
74.0,0.0000,-0.0234,0.0039
76.0,0.0000,-0.0078,0.0000
79.0,0.0000,-0.0039,0.0000
82.0,0.0000,-0.0039,0.0000
85.0,0.0000,-0.0039,0.0000
89.0,0.0000,-0.0039,0.0000
93.0,0.0000,-0.0039,0.0000
96.0,0.0000,-0.0039,0.0000
99.0,0.0000,-0.0039,0.0000
103.0,0.0000,-0.0039,0.0000
106.0,0.0000,-0.0039,0.0000
109.0,0.0000,-0.0039,0.0000
113.0,0.0000,-0.0039,0.0000
