t_ms,rx,ry,speed
0.0,-1.0000,-0.0430,0.0000
3.0,-0.9883,-0.0430,0.0117
6.0,-0.9727,-0.0430,0.0156
9.0,-0.9414,-0.0430,0.0313
11.0,-0.9062,-0.0352,0.0352
14.0,-0.8633,-0.0117,0.0429
17.0,-0.8203,0.0078,0.0430
20.0,-0.7734,0.0312,0.0469
22.0,-0.7734,0.0312,0.0000
25.0,-0.6562,0.0820,0.1172
28.0,-0.5977,0.1055,0.0585
32.0,-0.5273,0.1328,0.0704
35.0,-0.4414,0.1562,0.0859
37.0,-0.3711,0.1797,0.0703
40.0,-0.3125,0.1953,0.0586
43.0,-0.2500,0.2031,0.0625
46.0,-0.1914,0.2070,0.0586
48.0,-0.1406,0.2070,0.0508
51.0,-0.0938,0.2070,0.0468
54.0,-0.0586,0.2031,0.0352
57.0,-0.0312,0.1914,0.0274
59.0,-0.0117,0.1641,0.0195
62.0,0.0000,0.1367,0.0117
65.0,0.0078,0.1055,0.0078
68.0,0.0078,0.0742,0.0000
70.0,0.0117,0.0469,0.0039
73.0,0.0117,0.0391,0.0000
76.0,0.0117,0.0312,0.0000
79.0,0.0117,0.0273,0.0000
81.0,0.0117,0.0234,0.0000
84.0,0.0117,0.0195,0.0000
87.0,0.0117,0.0195,0.0000
90.0,0.0117,0.0156,0.0000
93.0,0.0117,0.0156,0.0000
97.0,0.0156,0.0156,0.0039
99.0,0.0117,0.0117,0.0039
103.0,0.0117,0.0117,0.0000
