t_ms,rx,ry,speed
0.0,-0.8828,-0.0391,0.0039
2.0,-0.8672,-0.0391,0.0156
5.0,-0.8438,-0.0391,0.0234
7.0,-0.8242,-0.0391,0.0196
11.0,-0.8047,-0.0391,0.0195
14.0,-0.7734,-0.0352,0.0313
17.0,-0.7383,-0.0352,0.0351
19.0,-0.7070,-0.0352,0.0313
22.0,-0.7070,-0.0352,0.0000
25.0,-0.7070,-0.0352,0.0000
28.0,-0.6328,-0.0273,0.0742
31.0,-0.5273,-0.0078,0.1055
32.0,-0.5117,-0.0039,0.0156
33.0,-0.4961,0.0000,0.0156
34.0,-0.4805,0.0000,0.0156
37.0,-0.4180,0.0078,0.0625
38.0,-0.4180,0.0078,0.0000
41.0,-0.3398,0.0273,0.0782
43.0,-0.2773,0.0391,0.0625
46.0,-0.2070,0.0508,0.0703
49.0,-0.1406,0.0586,0.0664
52.0,-0.0781,0.0625,0.0625
54.0,-0.0352,0.0547,0.0429
57.0,-0.0078,0.0312,0.0274
60.0,0.0000,0.0156,0.0078
63.0,0.0000,0.0078,0.0000
65.0,0.0000,0.0039,0.0000
66.0,0.0000,0.0039,0.0000
69.0,0.0000,0.0039,0.0000
73.0,0.0000,0.0039,0.0000
76.0,0.0000,0.0039,0.0000
79.0,0.0000,0.0039,0.0000
82.0,0.0000,0.0039,0.0000
86.0,0.0000,0.0039,0.0000
90.0,0.0000,0.0039,0.0000
93.0,0.0000,0.0039,0.0000
96.0,0.0000,0.0039,0.0000
99.0,0.0000,0.0039,0.0000
