t_ms,rx,ry,speed
0.0,-0.0312,-0.0039,0.0039
3.0,-0.0391,-0.0039,0.0079
5.0,-0.0547,-0.0039,0.0156
8.0,-0.0664,-0.0039,0.0117
11.0,-0.0820,-0.0039,0.0156
13.0,-0.1055,-0.0039,0.0235
16.0,-0.1250,-0.0039,0.0195
19.0,-0.1445,0.0000,0.0195
22.0,-0.1680,0.0000,0.0235
24.0,-0.1914,0.0000,0.0234
27.0,-0.2148,0.0000,0.0234
30.0,-0.2422,0.0039,0.0274
33.0,-0.2695,0.0039,0.0273
36.0,-0.2930,0.0078,0.0235
38.0,-0.3203,0.0078,0.0273
41.0,-0.3477,0.0117,0.0274
44.0,-0.3789,0.0117,0.0312
47.0,-0.4102,0.0117,0.0313
49.0,-0.4492,0.0117,0.0390
52.0,-0.4805,0.0117,0.0313
55.0,-0.5039,0.0117,0.0234
57.0,-0.5430,0.0117,0.0391
60.0,-0.5781,0.0117,0.0351
63.0,-0.6016,0.0117,0.0235
66.0,-0.6250,0.0117,0.0234
69.0,-0.6523,0.0117,0.0273
71.0,-0.6758,0.0117,0.0235
74.0,-0.6992,0.0117,0.0234
77.0,-0.7148,0.0117,0.0156
80.0,-0.7500,0.0117,0.0352
83.0,-0.7734,0.0117,0.0234
86.0,-0.7852,0.0117,0.0118
89.0,-0.8008,0.0117,0.0156
91.0,-0.8164,0.0117,0.0156
94.0,-0.8359,0.0117,0.0195
97.0,-0.8516,0.0117,0.0157
99.0,-0.8750,0.0117,0.0234
103.0,-0.8906,0.0117,0.0156
105.0,-0.9062,0.0117,0.0156
108.0,-0.9258,0.0117,0.0196
111.0,-0.9453,0.0117,0.0195
113.0,-0.9609,0.0117,0.0156
116.0,-0.9805,0.0117,0.0196
119.0,-1.0000,0.0117,0.0195
122.0,-1.0000,0.0078,0.0000
125.0,-1.0000,0.0078,0.0000
128.0,-1.0000,0.0078,0.0000
131.0,-1.0000,0.0078,0.0000
135.0,-1.0000,0.0078,0.0000
138.0,-1.0000,0.0078,0.0000
142.0,-1.0000,0.0078,0.0000
145.0,-1.0000,0.0078,0.0000
148.0,-1.0000,0.0078,0.0000
152.0,-1.0000,0.0078,0.0000
155.0,-1.0000,0.0078,0.0000
159.0,-1.0000,0.0078,0.0000
