t_ms,rx,ry,speed
0.0,-0.2305,0.0781,0.0039
2.0,-0.2383,0.0820,0.0078
52.0,-0.2461,0.0898,0.0078
55.0,-0.4336,0.1172,0.1875
57.0,-0.4531,0.1094,0.0195
60.0,-0.4688,0.1055,0.0157
63.0,-0.4844,0.0977,0.0156
64.0,-0.4922,0.0938,0.0078
66.0,-0.5039,0.0898,0.0117
69.0,-0.5273,0.0820,0.0234
72.0,-0.5469,0.0781,0.0196
75.0,-0.5664,0.0742,0.0195
77.0,-0.5664,0.0742,0.0000
81.0,-0.5898,0.0703,0.0234
84.0,-0.6016,0.0703,0.0118
87.0,-0.6094,0.0703,0.0078
89.0,-0.6172,0.0703,0.0078
92.0,-0.6289,0.0703,0.0117
95.0,-0.6367,0.0703,0.0078
98.0,-0.6484,0.0742,0.0117
100.0,-0.6562,0.0742,0.0078
103.0,-0.6719,0.0742,0.0157
106.0,-0.6875,0.0742,0.0156
109.0,-0.6992,0.0742,0.0117
111.0,-0.7148,0.0742,0.0156
114.0,-0.7500,0.0742,0.0352
117.0,-0.7734,0.0742,0.0234
120.0,-0.8008,0.0664,0.0274
122.0,-0.8398,0.0508,0.0390
125.0,-0.8789,0.0273,0.0391
128.0,-0.9180,0.0039,0.0391
131.0,-0.9609,-0.0273,0.0429
133.0,-1.0000,-0.0508,0.0391
136.0,-1.0000,-0.0625,0.0000
139.0,-1.0000,-0.0664,0.0000
142.0,-1.0000,-0.0664,0.0000
145.0,-1.0000,-0.0664,0.0000
148.0,-1.0000,-0.0664,0.0000
152.0,-1.0000,-0.0664,0.0000
155.0,-1.0000,-0.0664,0.0000
158.0,-1.0000,-0.0664,0.0000
161.0,-1.0000,-0.0664,0.0000
165.0,-1.0000,-0.0664,0.0000
168.0,-1.0000,-0.0664,0.0000
172.0,-1.0000,-0.0664,0.0000
175.0,-1.0000,-0.0664,0.0000
