t_ms,rx,ry,speed
0.0,-0.0273,0.0000,0.0039
3.0,-0.0391,0.0039,0.0118
6.0,-0.0508,0.0117,0.0117
8.0,-0.0664,0.0156,0.0156
11.0,-0.0781,0.0234,0.0117
14.0,-0.0977,0.0312,0.0196
16.0,-0.1211,0.0430,0.0234
19.0,-0.1406,0.0508,0.0195
22.0,-0.1680,0.0547,0.0274
25.0,-0.1914,0.0625,0.0234
27.0,-0.2188,0.0664,0.0274
30.0,-0.2539,0.0742,0.0351
33.0,-0.2852,0.0781,0.0313
36.0,-0.3086,0.0781,0.0234
38.0,-0.3438,0.0820,0.0352
41.0,-0.3672,0.0859,0.0234
44.0,-0.3945,0.0859,0.0273
47.0,-0.4297,0.0859,0.0352
50.0,-0.4609,0.0859,0.0312
52.0,-0.4844,0.0859,0.0235
55.0,-0.5039,0.0859,0.0195
58.0,-0.5312,0.0859,0.0273
61.0,-0.5547,0.0859,0.0235
63.0,-0.5781,0.0859,0.0234
66.0,-0.5898,0.0859,0.0117
69.0,-0.6055,0.0859,0.0157
72.0,-0.6172,0.0859,0.0117
76.0,-0.6328,0.0859,0.0156
78.0,-0.6484,0.0859,0.0156
81.0,-0.6602,0.0859,0.0118
84.0,-0.6719,0.0859,0.0117
86.0,-0.6836,0.0859,0.0117
89.0,-0.6953,0.0859,0.0117
92.0,-0.7031,0.0820,0.0078
95.0,-0.7070,0.0820,0.0039
97.0,-0.7188,0.0820,0.0118
100.0,-0.7266,0.0820,0.0078
103.0,-0.7422,0.0820,0.0156
105.0,-0.7539,0.0820,0.0117
109.0,-0.7656,0.0781,0.0117
111.0,-0.7734,0.0781,0.0078
114.0,-0.7773,0.0781,0.0039
117.0,-0.7852,0.0781,0.0079
120.0,-0.7852,0.0781,0.0000
123.0,-0.8047,0.0781,0.0195
125.0,-0.8164,0.0781,0.0117
128.0,-0.8281,0.0781,0.0117
131.0,-0.8398,0.0781,0.0117
134.0,-0.8555,0.0781,0.0157
137.0,-0.8711,0.0781,0.0156
139.0,-0.8828,0.0781,0.0117
142.0,-0.8945,0.0781,0.0117
145.0,-0.9062,0.0742,0.0117
148.0,-0.9141,0.0781,0.0079
151.0,-0.9258,0.0781,0.0117
153.0,-0.9414,0.0781,0.0156
156.0,-0.9531,0.0781,0.0117
159.0,-0.9648,0.0742,0.0117
161.0,-0.9727,0.0742,0.0079
164.0,-0.9883,0.0742,0.0156
167.0,-1.0000,0.0742,0.0117
170.0,-1.0000,0.0742,0.0000
173.0,-1.0000,0.0742,0.0000
176.0,-1.0000,0.0742,0.0000
180.0,-1.0000,0.0742,0.0000
183.0,-1.0000,0.0742,0.0000
187.0,-1.0000,0.0742,0.0000
190.0,-1.0000,0.0742,0.0000
193.0,-1.0000,0.0742,0.0000
197.0,-1.0000,0.0742,0.0000
201.0,-1.0000,0.0742,0.0000
204.0,-1.0000,0.0742,0.0000
207.0,-1.0000,0.0781,0.0000
